init_checkpoint=/root/incumbent/auxhead-lite/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=50 loss=0.8632 policy_loss=-0.2225 reward_sum=-0.305
episode=100 loss=0.7103 policy_loss=0.1269 reward_sum=-0.750
episode=150 loss=0.7734 policy_loss=-0.1618 reward_sum=-0.460
episode=200 loss=-0.1419 policy_loss=-0.6509 reward_sum=-1.240
episode=250 loss=0.6577 policy_loss=-0.1721 reward_sum=-0.942
episode=300 loss=0.2988 policy_loss=-0.2593 reward_sum=-0.740
episode=350 loss=1.3927 policy_loss=0.4458 reward_sum=-0.372
episode=400 loss=0.5963 policy_loss=0.0299 reward_sum=-0.200
episode=450 loss=1.1021 policy_loss=0.0209 reward_sum=-0.412
episode=500 loss=0.6802 policy_loss=0.1252 reward_sum=-0.200
episode=550 loss=0.4727 policy_loss=-0.5034 reward_sum=-0.380
episode=600 loss=0.9328 policy_loss=0.3816 reward_sum=-0.770
episode=650 loss=0.9168 policy_loss=-0.0313 reward_sum=-1.029
episode=700 loss=0.6803 policy_loss=0.1362 reward_sum=-0.200
episode=750 loss=0.9907 policy_loss=0.0325 reward_sum=-0.340
episode=800 loss=-0.3920 policy_loss=-0.8879 reward_sum=-1.240
episode=850 loss=1.1217 policy_loss=0.0352 reward_sum=-0.452
episode=900 loss=0.7729 policy_loss=0.2372 reward_sum=-0.200
episode=950 loss=0.7099 policy_loss=-0.1848 reward_sum=-0.360
episode=1000 loss=0.6176 policy_loss=0.0854 reward_sum=-0.750
episode=1050 loss=0.7565 policy_loss=-0.1190 reward_sum=-0.380
episode=1100 loss=0.3646 policy_loss=-0.1548 reward_sum=-0.200
episode=1150 loss=1.0016 policy_loss=-0.0047 reward_sum=-0.440
episode=1200 loss=0.6320 policy_loss=0.1148 reward_sum=-0.200
episode=1250 loss=0.6160 policy_loss=-0.0807 reward_sum=0.588
episode=1300 loss=0.5260 policy_loss=0.0401 reward_sum=-0.720
episode=1350 loss=0.9817 policy_loss=-0.0153 reward_sum=-0.480
episode=1400 loss=0.5854 policy_loss=0.0850 reward_sum=-0.200
episode=1450 loss=1.3221 policy_loss=0.1995 reward_sum=-0.420
episode=1500 loss=0.2180 policy_loss=-0.2876 reward_sum=0.850
episode=1550 loss=1.4400 policy_loss=0.3746 reward_sum=-0.480
episode=1600 loss=0.7234 policy_loss=0.2175 reward_sum=-0.750
episode=1650 loss=1.2357 policy_loss=0.1470 reward_sum=-0.452
episode=1700 loss=0.9444 policy_loss=0.4611 reward_sum=-0.200
episode=1750 loss=1.2039 policy_loss=0.1700 reward_sum=-0.420
episode=1800 loss=0.9413 policy_loss=0.4361 reward_sum=-0.720
episode=1850 loss=0.7991 policy_loss=-0.3487 reward_sum=-0.400
episode=1900 loss=0.3826 policy_loss=-0.0935 reward_sum=-0.720
episode=1950 loss=1.4126 policy_loss=0.2297 reward_sum=-0.472
