init_checkpoint=/root/incumbent/v6-omx-full2-promo-candidate/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=850 loss=0.5138 policy_loss=-0.0770 reward_sum=0.648
episode=900 loss=0.3600 policy_loss=-0.3261 reward_sum=-0.184
episode=950 loss=0.8955 policy_loss=0.2918 reward_sum=-0.776
episode=1000 loss=0.6698 policy_loss=0.0079 reward_sum=-0.152
episode=1050 loss=0.3105 policy_loss=-0.2559 reward_sum=-1.271
episode=1100 loss=0.6478 policy_loss=-0.0088 reward_sum=-0.164
episode=1150 loss=0.9718 policy_loss=0.3850 reward_sum=0.816
episode=1200 loss=0.2721 policy_loss=-0.3917 reward_sum=-0.211
episode=1250 loss=0.0938 policy_loss=-0.4443 reward_sum=-1.279
episode=1300 loss=0.7066 policy_loss=0.0859 reward_sum=-0.200
episode=1350 loss=0.7472 policy_loss=0.1659 reward_sum=0.706
episode=1400 loss=0.7003 policy_loss=0.0430 reward_sum=-0.200
episode=1450 loss=0.3462 policy_loss=-0.3402 reward_sum=-1.310
episode=1500 loss=0.7226 policy_loss=0.0779 reward_sum=-0.164
episode=1550 loss=0.8634 policy_loss=0.2733 reward_sum=0.823
episode=1600 loss=0.7528 policy_loss=0.1380 reward_sum=-0.152
episode=1650 loss=0.5776 policy_loss=-0.0018 reward_sum=-1.260
episode=1700 loss=0.8923 policy_loss=0.3202 reward_sum=-0.116
episode=1750 loss=0.7629 policy_loss=0.1191 reward_sum=-1.331
episode=1800 loss=0.6364 policy_loss=0.0755 reward_sum=-0.164
episode=1850 loss=0.8377 policy_loss=0.3639 reward_sum=0.503
episode=1900 loss=0.2647 policy_loss=-0.3074 reward_sum=-0.152
episode=1950 loss=1.1433 policy_loss=0.3852 reward_sum=0.668
episode=2000 loss=0.5577 policy_loss=0.0057 reward_sum=-0.152
episode=2050 loss=1.1354 policy_loss=0.5934 reward_sum=0.611
episode=2100 loss=0.2865 policy_loss=-0.2565 reward_sum=-0.128
episode=2150 loss=0.4882 policy_loss=-0.3752 reward_sum=-1.648
episode=2200 loss=0.0050 policy_loss=-0.5290 reward_sum=-0.152
episode=2250 loss=0.9769 policy_loss=-0.0903 reward_sum=0.601
episode=2300 loss=0.5711 policy_loss=0.0333 reward_sum=-0.152
episode=2350 loss=0.7187 policy_loss=0.1944 reward_sum=0.378
episode=2400 loss=0.7398 policy_loss=0.1848 reward_sum=-0.104
episode=2450 loss=1.2671 policy_loss=0.5200 reward_sum=0.744
episode=2500 loss=0.6557 policy_loss=0.1029 reward_sum=-0.116
episode=2550 loss=0.4805 policy_loss=-0.2628 reward_sum=-1.298
episode=2600 loss=0.4267 policy_loss=-0.1251 reward_sum=-0.104
episode=2650 loss=0.5065 policy_loss=0.0261 reward_sum=-0.716
episode=2700 loss=0.3852 policy_loss=-0.1877 reward_sum=-0.128
episode=2750 loss=0.5111 policy_loss=-0.2913 reward_sum=-1.298
episode=2800 loss=0.4115 policy_loss=-0.1559 reward_sum=-0.140
latest_checkpoint=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=2850 loss=0.5045 policy_loss=-0.2766 reward_sum=-1.298
episode=2900 loss=0.6060 policy_loss=0.0697 reward_sum=-0.140
episode=2950 loss=1.0428 policy_loss=0.4357 reward_sum=0.516
episode=3000 loss=0.6277 policy_loss=0.0648 reward_sum=-0.140
episode=3050 loss=0.7612 policy_loss=0.1870 reward_sum=0.675
episode=3100 loss=0.7822 policy_loss=0.2201 reward_sum=-0.152
episode=3150 loss=0.6007 policy_loss=0.0811 reward_sum=-0.631
episode=3200 loss=0.7418 policy_loss=0.1744 reward_sum=-0.152
episode=3250 loss=0.1288 policy_loss=-0.4899 reward_sum=0.517
episode=3300 loss=0.7029 policy_loss=0.1485 reward_sum=-0.140
episode=3350 loss=0.7114 policy_loss=0.1007 reward_sum=0.553
episode=3400 loss=0.0090 policy_loss=-0.5521 reward_sum=-0.160
episode=3450 loss=0.4932 policy_loss=0.0040 reward_sum=0.664
episode=3500 loss=0.7296 policy_loss=0.1664 reward_sum=-0.152
episode=3550 loss=0.3315 policy_loss=-0.2669 reward_sum=0.418
episode=3600 loss=0.6909 policy_loss=0.1156 reward_sum=-0.140
episode=3650 loss=0.7131 policy_loss=0.1693 reward_sum=0.512
episode=3700 loss=0.6992 policy_loss=0.1315 reward_sum=-0.164
episode=3750 loss=1.2901 policy_loss=0.1620 reward_sum=0.555
episode=3800 loss=0.3280 policy_loss=-0.2436 reward_sum=-0.152
episode=3850 loss=0.6576 policy_loss=0.1044 reward_sum=0.508
episode=3900 loss=0.6597 policy_loss=0.0787 reward_sum=-0.140
episode=3950 loss=1.0043 policy_loss=0.4943 reward_sum=0.563
episode=4000 loss=0.6581 policy_loss=0.1055 reward_sum=-0.164
episode=4050 loss=0.9139 policy_loss=0.0945 reward_sum=-1.310
episode=4100 loss=0.7390 policy_loss=0.1470 reward_sum=-0.164
episode=4150 loss=1.1311 policy_loss=0.5708 reward_sum=0.591
episode=4200 loss=0.6618 policy_loss=0.0878 reward_sum=-0.152
episode=4250 loss=0.7114 policy_loss=0.2167 reward_sum=0.697
episode=4300 loss=0.0190 policy_loss=-0.5427 reward_sum=-0.140
episode=4350 loss=0.8932 policy_loss=0.2818 reward_sum=0.563
episode=4400 loss=0.7473 policy_loss=0.1812 reward_sum=-0.128
episode=4450 loss=1.0010 policy_loss=0.3420 reward_sum=0.734
episode=4500 loss=0.7435 policy_loss=0.2044 reward_sum=-0.140
episode=4550 loss=0.1734 policy_loss=-0.5222 reward_sum=-1.248
episode=4600 loss=0.6691 policy_loss=0.1277 reward_sum=0.834
episode=4650 loss=0.1907 policy_loss=-0.5444 reward_sum=-1.279
episode=4700 loss=0.5793 policy_loss=0.0140 reward_sum=-0.164
episode=4750 loss=0.9730 policy_loss=0.3093 reward_sum=0.723
episode=4800 loss=0.6545 policy_loss=0.1111 reward_sum=-0.200
latest_checkpoint=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=4850 loss=1.0530 policy_loss=0.5372 reward_sum=0.631
episode=4900 loss=0.6796 policy_loss=0.1170 reward_sum=-0.128
episode=4950 loss=0.6183 policy_loss=0.0711 reward_sum=0.681
episode=5000 loss=0.7664 policy_loss=0.2303 reward_sum=-0.140
episode=5050 loss=0.1837 policy_loss=-0.2854 reward_sum=-0.680
episode=5100 loss=0.6448 policy_loss=0.1085 reward_sum=0.858
episode=5150 loss=0.4774 policy_loss=0.0238 reward_sum=0.398
episode=5200 loss=0.7192 policy_loss=0.1870 reward_sum=-0.164
episode=5250 loss=0.3417 policy_loss=-0.1275 reward_sum=0.457
episode=5300 loss=0.6284 policy_loss=0.0479 reward_sum=-0.128
episode=5350 loss=0.5119 policy_loss=-0.0356 reward_sum=0.508
episode=5400 loss=0.5316 policy_loss=0.0117 reward_sum=-0.164
episode=5450 loss=0.4319 policy_loss=-0.0418 reward_sum=0.468
episode=5500 loss=0.7259 policy_loss=0.1410 reward_sum=-0.128
episode=5550 loss=0.4753 policy_loss=-0.0340 reward_sum=0.508
episode=5600 loss=0.6821 policy_loss=0.1456 reward_sum=-0.152
episode=5650 loss=0.1985 policy_loss=-0.4859 reward_sum=-1.260
episode=5700 loss=0.9904 policy_loss=0.4616 reward_sum=0.858
episode=5750 loss=0.3165 policy_loss=-0.1816 reward_sum=-0.676
episode=5800 loss=0.0628 policy_loss=-0.4558 reward_sum=-0.140
episode=5850 loss=0.7190 policy_loss=0.2576 reward_sum=0.442
episode=5900 loss=0.6694 policy_loss=0.1585 reward_sum=-0.164
episode=5950 loss=0.4147 policy_loss=-0.0472 reward_sum=0.508
episode=6000 loss=0.6372 policy_loss=0.1068 reward_sum=-0.164
episode=6050 loss=0.4585 policy_loss=-0.0135 reward_sum=-0.599
episode=6100 loss=0.4812 policy_loss=-0.0379 reward_sum=-0.164
episode=6150 loss=0.3357 policy_loss=-0.1128 reward_sum=0.367
episode=6200 loss=0.5924 policy_loss=0.0789 reward_sum=-0.164
episode=6250 loss=0.6979 policy_loss=0.2108 reward_sum=0.449
episode=6300 loss=0.3009 policy_loss=-0.2343 reward_sum=-0.152
episode=6350 loss=0.1338 policy_loss=-0.3671 reward_sum=0.508
episode=6400 loss=0.5756 policy_loss=0.0227 reward_sum=-0.164
episode=6450 loss=0.6677 policy_loss=0.1643 reward_sum=-0.712
episode=6500 loss=0.7034 policy_loss=0.1424 reward_sum=-0.128
episode=6550 loss=0.2105 policy_loss=-0.2439 reward_sum=0.320
episode=6600 loss=0.6555 policy_loss=0.1582 reward_sum=-0.152
episode=6650 loss=0.1138 policy_loss=-0.4017 reward_sum=0.407
episode=6700 loss=0.6792 policy_loss=0.1211 reward_sum=-0.128
episode=6750 loss=0.1377 policy_loss=-0.6267 reward_sum=-1.279
episode=6800 loss=0.6076 policy_loss=0.0865 reward_sum=-0.152
latest_checkpoint=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=6850 loss=0.1049 policy_loss=-0.3658 reward_sum=0.403
episode=6900 loss=0.6885 policy_loss=0.1420 reward_sum=-0.188
episode=6950 loss=0.1337 policy_loss=-0.6754 reward_sum=-1.288
episode=7000 loss=0.6625 policy_loss=0.1257 reward_sum=-0.104
