init_checkpoint=/root/incumbent/auxhead-lite-v2-local800/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=850 loss=0.7289 policy_loss=0.0266 reward_sum=0.746
episode=900 loss=0.2426 policy_loss=-0.3851 reward_sum=-0.176
episode=950 loss=0.4400 policy_loss=-0.1255 reward_sum=-0.704
episode=1000 loss=0.4263 policy_loss=-0.1911 reward_sum=0.866
episode=1050 loss=0.7979 policy_loss=0.0570 reward_sum=-1.517
episode=1100 loss=0.5742 policy_loss=-0.0101 reward_sum=-0.140
episode=1150 loss=0.2218 policy_loss=-0.3369 reward_sum=-1.279
episode=1200 loss=0.4841 policy_loss=-0.0846 reward_sum=-0.128
episode=1250 loss=0.5898 policy_loss=-0.0450 reward_sum=0.589
episode=1300 loss=0.1739 policy_loss=-0.4155 reward_sum=0.908
episode=1350 loss=0.7049 policy_loss=0.1977 reward_sum=0.678
episode=1400 loss=0.1121 policy_loss=-0.4210 reward_sum=-0.152
episode=1450 loss=0.7208 policy_loss=0.2514 reward_sum=0.605
episode=1500 loss=0.9542 policy_loss=0.3927 reward_sum=-0.140
episode=1550 loss=0.2453 policy_loss=-0.2070 reward_sum=-0.692
episode=1600 loss=0.3307 policy_loss=-0.3004 reward_sum=-0.188
episode=1650 loss=1.2017 policy_loss=0.5125 reward_sum=0.757
episode=1700 loss=0.5133 policy_loss=-0.0639 reward_sum=-0.132
episode=1750 loss=0.5434 policy_loss=0.0820 reward_sum=0.705
episode=1800 loss=0.5006 policy_loss=-0.0749 reward_sum=-0.184
episode=1850 loss=0.3470 policy_loss=-0.1028 reward_sum=-0.701
episode=1900 loss=0.4713 policy_loss=-0.1739 reward_sum=-0.123
episode=1950 loss=1.1925 policy_loss=0.6425 reward_sum=0.694
episode=2000 loss=0.3819 policy_loss=-0.2059 reward_sum=-0.152
episode=2050 loss=0.3121 policy_loss=-0.1191 reward_sum=-0.772
episode=2100 loss=0.6239 policy_loss=0.0421 reward_sum=-0.176
episode=2150 loss=0.6391 policy_loss=0.1722 reward_sum=0.653
episode=2200 loss=0.3114 policy_loss=-0.2748 reward_sum=-0.152
episode=2250 loss=1.3069 policy_loss=0.3462 reward_sum=0.812
episode=2300 loss=0.6409 policy_loss=0.0722 reward_sum=-0.140
episode=2350 loss=-0.4885 policy_loss=-1.0550 reward_sum=-1.299
episode=2400 loss=0.0977 policy_loss=-0.4381 reward_sum=-0.140
episode=2450 loss=1.1330 policy_loss=0.4246 reward_sum=0.611
episode=2500 loss=0.8366 policy_loss=0.2838 reward_sum=-0.140
episode=2550 loss=0.9804 policy_loss=0.1246 reward_sum=0.617
episode=2600 loss=0.9051 policy_loss=0.3480 reward_sum=-0.152
episode=2650 loss=0.7249 policy_loss=-0.0695 reward_sum=-0.728
episode=2700 loss=0.1942 policy_loss=-0.3553 reward_sum=0.866
episode=2750 loss=0.9638 policy_loss=0.1099 reward_sum=0.371
episode=2800 loss=0.6168 policy_loss=0.0730 reward_sum=-0.164
latest_checkpoint=/root/outputs/auxhead-lite/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=2850 loss=0.4830 policy_loss=-0.0483 reward_sum=-0.688
episode=2900 loss=0.6747 policy_loss=0.1148 reward_sum=-0.164
episode=2950 loss=0.9112 policy_loss=0.3691 reward_sum=0.623
episode=3000 loss=0.5122 policy_loss=-0.0019 reward_sum=-0.128
episode=3050 loss=0.9463 policy_loss=0.4232 reward_sum=0.606
episode=3100 loss=0.6442 policy_loss=0.1294 reward_sum=-0.116
episode=3150 loss=0.7793 policy_loss=0.0333 reward_sum=-0.708
episode=3200 loss=0.3241 policy_loss=-0.1874 reward_sum=-0.152
episode=3250 loss=0.3880 policy_loss=-0.2036 reward_sum=0.410
episode=3300 loss=0.6336 policy_loss=0.1082 reward_sum=-0.164
