init_checkpoint=/root/incumbent/v5-delayedtrust-split-candidate/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=850 loss=0.4074 policy_loss=-0.1142 reward_sum=-0.758
episode=900 loss=0.4559 policy_loss=-0.1355 reward_sum=-0.140
episode=950 loss=0.5120 policy_loss=-0.0742 reward_sum=-1.304
episode=1000 loss=0.5422 policy_loss=-0.0853 reward_sum=-0.152
episode=1050 loss=0.3226 policy_loss=-0.1749 reward_sum=-0.570
episode=1100 loss=0.3473 policy_loss=-0.3015 reward_sum=-0.196
episode=1150 loss=-0.0942 policy_loss=-0.6308 reward_sum=-1.304
episode=1200 loss=0.3676 policy_loss=-0.2097 reward_sum=-0.189
episode=1250 loss=0.7552 policy_loss=0.3265 reward_sum=0.650
episode=1300 loss=0.5813 policy_loss=-0.0140 reward_sum=-0.152
episode=1350 loss=1.2193 policy_loss=0.4831 reward_sum=0.795
episode=1400 loss=0.4699 policy_loss=-0.1245 reward_sum=-0.177
episode=1450 loss=0.2902 policy_loss=-0.2431 reward_sum=0.449
episode=1500 loss=0.8950 policy_loss=0.3327 reward_sum=-0.140
episode=1550 loss=0.8319 policy_loss=0.2331 reward_sum=0.690
episode=1600 loss=0.4148 policy_loss=-0.1166 reward_sum=-0.116
episode=1650 loss=0.4858 policy_loss=-0.0714 reward_sum=0.435
episode=1700 loss=0.1524 policy_loss=-0.3979 reward_sum=-0.176
episode=1750 loss=0.7735 policy_loss=0.2750 reward_sum=0.688
episode=1800 loss=0.6439 policy_loss=0.0880 reward_sum=-0.128
episode=1850 loss=0.7430 policy_loss=0.0748 reward_sum=-0.640
episode=1900 loss=0.3058 policy_loss=-0.2407 reward_sum=-0.164
episode=1950 loss=1.2578 policy_loss=0.6711 reward_sum=0.709
episode=2000 loss=0.4008 policy_loss=-0.1420 reward_sum=-0.164
episode=2050 loss=0.0557 policy_loss=-0.4877 reward_sum=-1.248
episode=2100 loss=0.9539 policy_loss=0.3689 reward_sum=-0.164
episode=2150 loss=0.2710 policy_loss=-0.3492 reward_sum=-0.611
episode=2200 loss=0.6986 policy_loss=0.1519 reward_sum=-0.164
episode=2250 loss=0.6153 policy_loss=0.1621 reward_sum=0.524
episode=2300 loss=0.1855 policy_loss=-0.3750 reward_sum=-0.187
episode=2350 loss=0.4810 policy_loss=0.0165 reward_sum=0.371
episode=2400 loss=0.6537 policy_loss=0.0966 reward_sum=-0.152
episode=2450 loss=0.7558 policy_loss=0.1900 reward_sum=-0.740
episode=2500 loss=0.6934 policy_loss=0.1670 reward_sum=-0.152
episode=2550 loss=0.1736 policy_loss=-0.4607 reward_sum=-1.279
episode=2600 loss=0.6189 policy_loss=0.0764 reward_sum=-0.152
episode=2650 loss=1.4018 policy_loss=0.3093 reward_sum=0.695
episode=2700 loss=0.5472 policy_loss=-0.0255 reward_sum=-0.164
episode=2750 loss=0.9527 policy_loss=0.4175 reward_sum=0.584
episode=2800 loss=0.5392 policy_loss=0.0238 reward_sum=-0.164
latest_checkpoint=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=2850 loss=0.7284 policy_loss=0.2561 reward_sum=0.697
episode=2900 loss=0.7052 policy_loss=0.1590 reward_sum=-0.140
episode=2950 loss=0.7384 policy_loss=-0.5761 reward_sum=0.847
episode=3000 loss=0.5357 policy_loss=-0.0134 reward_sum=-0.152
episode=3050 loss=1.0054 policy_loss=0.4753 reward_sum=0.580
episode=3100 loss=0.6966 policy_loss=0.1328 reward_sum=-0.140
episode=3150 loss=0.7249 policy_loss=-0.0488 reward_sum=-0.748
episode=3200 loss=0.6571 policy_loss=0.1087 reward_sum=-0.128
episode=3250 loss=0.9633 policy_loss=0.4362 reward_sum=0.546
episode=3300 loss=0.7015 policy_loss=0.1007 reward_sum=-0.088
episode=3350 loss=0.9027 policy_loss=0.2860 reward_sum=0.518
episode=3400 loss=0.8495 policy_loss=0.2825 reward_sum=-0.116
episode=3450 loss=1.0517 policy_loss=0.5274 reward_sum=0.732
episode=3500 loss=0.6259 policy_loss=0.0740 reward_sum=-0.128
episode=3550 loss=0.7983 policy_loss=0.2631 reward_sum=0.736
