init_checkpoint=/root/incumbent/auxhead-lite/seed11/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=11
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=50 loss=0.5565 policy_loss=-0.2136 reward_sum=-0.412
episode=100 loss=0.5899 policy_loss=-0.0335 reward_sum=-0.200
episode=150 loss=0.5742 policy_loss=-0.3840 reward_sum=-0.400
episode=200 loss=0.5005 policy_loss=-0.0783 reward_sum=-0.740
episode=250 loss=1.0828 policy_loss=0.1922 reward_sum=-0.420
episode=300 loss=0.4478 policy_loss=-0.1176 reward_sum=-0.220
episode=350 loss=0.4811 policy_loss=-0.3401 reward_sum=-0.512
episode=400 loss=0.5182 policy_loss=-0.0519 reward_sum=-0.220
episode=450 loss=0.8949 policy_loss=0.0902 reward_sum=0.690
episode=500 loss=0.4692 policy_loss=-0.1271 reward_sum=-0.180
episode=550 loss=0.7508 policy_loss=0.0460 reward_sum=0.775
episode=600 loss=0.6425 policy_loss=0.0597 reward_sum=-0.200
episode=650 loss=1.0296 policy_loss=-0.1193 reward_sum=-1.235
episode=700 loss=0.4114 policy_loss=-0.2009 reward_sum=-0.220
episode=750 loss=0.7444 policy_loss=0.1187 reward_sum=0.703
episode=800 loss=0.8099 policy_loss=0.2218 reward_sum=-0.200
episode=850 loss=0.9993 policy_loss=0.0007 reward_sum=-0.985
episode=900 loss=0.9185 policy_loss=0.3634 reward_sum=-0.750
episode=950 loss=0.5537 policy_loss=-0.4367 reward_sum=-0.300
episode=1000 loss=0.6956 policy_loss=0.1563 reward_sum=-0.720
episode=1050 loss=0.9735 policy_loss=-0.0947 reward_sum=-0.940
episode=1100 loss=0.3060 policy_loss=-0.2191 reward_sum=-0.220
episode=1150 loss=1.2456 policy_loss=0.2061 reward_sum=-0.420
episode=1200 loss=0.4570 policy_loss=-0.0588 reward_sum=-0.200
episode=1250 loss=1.2090 policy_loss=0.0781 reward_sum=-0.360
episode=1300 loss=1.0339 policy_loss=0.4992 reward_sum=-0.770
episode=1350 loss=0.8010 policy_loss=-0.1459 reward_sum=-0.432
episode=1400 loss=0.2988 policy_loss=-0.2142 reward_sum=-0.220
episode=1450 loss=1.3177 policy_loss=0.3206 reward_sum=-0.424
episode=1500 loss=0.4137 policy_loss=-0.0980 reward_sum=-0.200
episode=1550 loss=0.3787 policy_loss=-0.6706 reward_sum=-1.260
episode=1600 loss=0.4158 policy_loss=-0.0877 reward_sum=-0.200
episode=1650 loss=1.3274 policy_loss=0.0369 reward_sum=-0.380
episode=1700 loss=0.3831 policy_loss=-0.1021 reward_sum=-0.200
episode=1750 loss=1.5969 policy_loss=0.4816 reward_sum=-0.384
episode=1800 loss=0.5623 policy_loss=0.0443 reward_sum=-0.720
episode=1850 loss=1.3952 policy_loss=0.1692 reward_sum=-0.460
episode=1900 loss=0.5188 policy_loss=0.0276 reward_sum=-0.200
episode=1950 loss=1.2951 policy_loss=0.0081 reward_sum=-0.440
episode=2000 loss=0.4974 policy_loss=0.0003 reward_sum=-0.770
episode=2050 loss=0.8198 policy_loss=-0.3122 reward_sum=-0.512
episode=2100 loss=0.4037 policy_loss=-0.0929 reward_sum=-0.200
episode=2150 loss=1.2288 policy_loss=0.0817 reward_sum=-0.432
episode=2200 loss=0.5233 policy_loss=0.0248 reward_sum=-0.750
episode=2250 loss=1.2722 policy_loss=0.0482 reward_sum=-0.440
episode=2300 loss=1.0549 policy_loss=0.5551 reward_sum=-0.200
episode=2350 loss=1.3064 policy_loss=0.1396 reward_sum=-0.340
episode=2400 loss=0.6333 policy_loss=0.0997 reward_sum=-0.200
episode=2450 loss=1.1480 policy_loss=0.0029 reward_sum=-1.032
episode=2500 loss=0.5254 policy_loss=0.0075 reward_sum=-0.200
episode=2550 loss=1.1262 policy_loss=-0.1245 reward_sum=-0.995
episode=2600 loss=0.4896 policy_loss=-0.0001 reward_sum=-0.200
episode=2650 loss=1.1453 policy_loss=0.0324 reward_sum=-0.340
episode=2700 loss=0.6692 policy_loss=0.1708 reward_sum=-0.200
episode=2750 loss=1.0932 policy_loss=-0.1286 reward_sum=-0.935
episode=2800 loss=0.4653 policy_loss=-0.0424 reward_sum=-0.720
episode=2850 loss=1.0830 policy_loss=-0.2744 reward_sum=-0.975
episode=2900 loss=0.4161 policy_loss=-0.0825 reward_sum=-0.760
episode=2950 loss=1.4513 policy_loss=0.2384 reward_sum=-0.464
episode=3000 loss=0.7963 policy_loss=0.2822 reward_sum=-0.200
episode=3050 loss=1.4231 policy_loss=0.2877 reward_sum=-0.512
episode=3100 loss=0.6558 policy_loss=0.1144 reward_sum=-0.200
episode=3150 loss=1.0772 policy_loss=-0.1479 reward_sum=-0.935
episode=3200 loss=0.4386 policy_loss=-0.0757 reward_sum=-0.780
episode=3250 loss=1.0645 policy_loss=-0.0729 reward_sum=-0.400
episode=3300 loss=0.3676 policy_loss=-0.1519 reward_sum=-0.200
episode=3350 loss=1.3535 policy_loss=0.1069 reward_sum=-0.340
episode=3400 loss=0.7562 policy_loss=0.1873 reward_sum=-0.200
episode=3450 loss=1.1476 policy_loss=0.0647 reward_sum=-0.940
episode=3500 loss=0.6679 policy_loss=0.1387 reward_sum=-0.200
episode=3550 loss=1.1558 policy_loss=0.0741 reward_sum=-0.400
episode=3600 loss=0.4464 policy_loss=-0.0848 reward_sum=-0.740
episode=3650 loss=1.2135 policy_loss=0.0944 reward_sum=-0.380
episode=3700 loss=0.4614 policy_loss=-0.1028 reward_sum=-0.160
episode=3750 loss=1.2148 policy_loss=-0.0121 reward_sum=-0.940
episode=3800 loss=0.9631 policy_loss=0.4492 reward_sum=-0.780
episode=3850 loss=1.0739 policy_loss=-0.0491 reward_sum=-1.050
episode=3900 loss=0.6360 policy_loss=0.1171 reward_sum=-0.200
episode=3950 loss=1.2086 policy_loss=0.2743 reward_sum=-0.460
episode=4000 loss=0.6232 policy_loss=0.1187 reward_sum=-0.200
episode=4050 loss=1.3844 policy_loss=0.2502 reward_sum=-0.400
episode=4100 loss=0.0748 policy_loss=-0.4356 reward_sum=-0.200
episode=4150 loss=1.2912 policy_loss=-0.0246 reward_sum=-0.440
episode=4200 loss=0.7750 policy_loss=0.2912 reward_sum=-0.200
episode=4250 loss=1.0442 policy_loss=-0.0491 reward_sum=-0.940
episode=4300 loss=0.6322 policy_loss=0.1360 reward_sum=-0.750
episode=4350 loss=1.2645 policy_loss=0.1307 reward_sum=-0.380
episode=4400 loss=0.4361 policy_loss=-0.0655 reward_sum=-0.720
episode=4450 loss=1.1659 policy_loss=0.0188 reward_sum=-0.940
episode=4500 loss=0.4565 policy_loss=-0.0661 reward_sum=-0.720
episode=4550 loss=1.1286 policy_loss=0.0852 reward_sum=-1.090
episode=4600 loss=0.4526 policy_loss=-0.0815 reward_sum=-0.200
episode=4650 loss=1.2659 policy_loss=0.0282 reward_sum=-0.472
episode=4700 loss=1.0917 policy_loss=0.5551 reward_sum=-0.200
episode=4750 loss=0.7441 policy_loss=-0.1481 reward_sum=-0.915
episode=4800 loss=0.0813 policy_loss=-0.4731 reward_sum=-0.800
episode=4850 loss=0.9241 policy_loss=-0.1314 reward_sum=-0.910
episode=4900 loss=0.7406 policy_loss=0.2144 reward_sum=-0.200
episode=4950 loss=1.1344 policy_loss=-0.1314 reward_sum=-0.380
episode=5000 loss=0.3775 policy_loss=-0.1598 reward_sum=-0.200
episode=5050 loss=0.9444 policy_loss=-0.1473 reward_sum=-0.920
episode=5100 loss=0.8249 policy_loss=0.3065 reward_sum=-0.200
episode=5150 loss=1.1154 policy_loss=-0.0103 reward_sum=-1.105
episode=5200 loss=0.7779 policy_loss=0.2293 reward_sum=-0.200
episode=5250 loss=1.0724 policy_loss=0.0169 reward_sum=-0.940
episode=5300 loss=0.9620 policy_loss=0.4058 reward_sum=-0.200
episode=5350 loss=1.3163 policy_loss=0.2625 reward_sum=-0.400
episode=5400 loss=0.6585 policy_loss=0.1721 reward_sum=-0.200
episode=5450 loss=0.0083 policy_loss=-1.2219 reward_sum=-1.260
episode=5500 loss=0.5042 policy_loss=0.0131 reward_sum=-0.200
episode=5550 loss=1.0892 policy_loss=-0.0015 reward_sum=-0.940
episode=5600 loss=0.5980 policy_loss=0.0843 reward_sum=-0.200
episode=5650 loss=1.0407 policy_loss=-0.1806 reward_sum=-0.995
episode=5700 loss=0.7984 policy_loss=0.2703 reward_sum=-0.200
episode=5750 loss=0.9743 policy_loss=-0.0157 reward_sum=-1.020
episode=5800 loss=0.5048 policy_loss=-0.0482 reward_sum=-0.200
episode=5850 loss=1.0083 policy_loss=0.0072 reward_sum=-0.940
episode=5900 loss=0.7429 policy_loss=0.2234 reward_sum=-0.200
episode=5950 loss=0.8707 policy_loss=-0.1524 reward_sum=-0.920
episode=6000 loss=0.6980 policy_loss=0.1899 reward_sum=-0.200
episode=6050 loss=1.0883 policy_loss=0.0064 reward_sum=-1.080
episode=6100 loss=0.7606 policy_loss=0.2821 reward_sum=-0.200
episode=6150 loss=1.1087 policy_loss=-0.0221 reward_sum=-0.975
episode=6200 loss=0.6610 policy_loss=0.1552 reward_sum=-0.730
episode=6250 loss=1.0889 policy_loss=0.0757 reward_sum=-1.055
episode=6300 loss=0.5202 policy_loss=0.0107 reward_sum=-0.720
episode=6350 loss=1.0791 policy_loss=-0.2912 reward_sum=-0.990
episode=6400 loss=0.6652 policy_loss=0.1866 reward_sum=-0.200
episode=6450 loss=0.9464 policy_loss=-0.1363 reward_sum=-0.900
episode=6500 loss=0.8014 policy_loss=0.2868 reward_sum=-0.200
episode=6550 loss=1.0256 policy_loss=-0.0077 reward_sum=-0.940
episode=6600 loss=0.3859 policy_loss=-0.1261 reward_sum=-0.780
episode=6650 loss=1.0657 policy_loss=-0.1102 reward_sum=-1.035
episode=6700 loss=0.7949 policy_loss=0.3074 reward_sum=-0.200
episode=6750 loss=1.2201 policy_loss=-0.0747 reward_sum=-0.380
episode=6800 loss=0.7052 policy_loss=0.2080 reward_sum=-0.200
episode=6850 loss=0.7888 policy_loss=-0.0842 reward_sum=-0.890
episode=6900 loss=0.9677 policy_loss=0.4365 reward_sum=-0.200
episode=6950 loss=1.2293 policy_loss=-0.0753 reward_sum=-0.400
