init_checkpoint=/root/incumbent/auxhead-lite/seed17/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=17
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=850 loss=0.7690 policy_loss=-0.2145 reward_sum=0.714
episode=900 loss=1.1895 policy_loss=0.1542 reward_sum=-0.808
episode=950 loss=0.4457 policy_loss=-0.3493 reward_sum=0.655
episode=1000 loss=1.1911 policy_loss=0.3159 reward_sum=-0.200
episode=1050 loss=0.7555 policy_loss=0.0910 reward_sum=0.658
episode=1100 loss=0.5255 policy_loss=-0.2747 reward_sum=-0.206
episode=1150 loss=0.5768 policy_loss=-0.0355 reward_sum=-0.830
episode=1200 loss=0.5886 policy_loss=-0.1087 reward_sum=-0.176
episode=1250 loss=0.5326 policy_loss=-0.2597 reward_sum=0.668
episode=1300 loss=0.6342 policy_loss=-0.0408 reward_sum=-0.176
episode=1350 loss=0.1438 policy_loss=-0.4275 reward_sum=-1.279
episode=1400 loss=0.8007 policy_loss=0.1582 reward_sum=-0.152
episode=1450 loss=0.6108 policy_loss=-0.0716 reward_sum=0.692
episode=1500 loss=0.4855 policy_loss=-0.1085 reward_sum=-0.152
episode=1550 loss=0.9713 policy_loss=0.1023 reward_sum=0.613
episode=1600 loss=0.8125 policy_loss=0.1978 reward_sum=-0.152
episode=1650 loss=0.4017 policy_loss=-0.2293 reward_sum=-0.718
episode=1700 loss=0.4038 policy_loss=-0.1833 reward_sum=-0.152
episode=1750 loss=0.5802 policy_loss=-0.1041 reward_sum=-0.732
episode=1800 loss=0.7214 policy_loss=0.1385 reward_sum=-0.176
episode=1850 loss=0.5658 policy_loss=-0.1146 reward_sum=-0.665
episode=1900 loss=0.3554 policy_loss=-0.2139 reward_sum=-0.177
episode=1950 loss=0.6658 policy_loss=0.0290 reward_sum=0.488
episode=2000 loss=0.7654 policy_loss=0.2718 reward_sum=-1.248
episode=2050 loss=0.2553 policy_loss=-0.3920 reward_sum=-0.778
episode=2100 loss=0.5555 policy_loss=-0.0280 reward_sum=-0.209
episode=2150 loss=0.7733 policy_loss=0.2310 reward_sum=0.632
episode=2200 loss=0.7251 policy_loss=0.1394 reward_sum=-0.152
episode=2250 loss=0.1434 policy_loss=-0.4160 reward_sum=-1.285
episode=2300 loss=0.4621 policy_loss=-0.0445 reward_sum=-1.228
episode=2350 loss=0.6254 policy_loss=-0.0566 reward_sum=-0.629
episode=2400 loss=0.8260 policy_loss=0.2488 reward_sum=-0.140
episode=2450 loss=0.9188 policy_loss=0.1347 reward_sum=-1.354
episode=2500 loss=0.4507 policy_loss=-0.1653 reward_sum=-0.140
episode=2550 loss=0.4917 policy_loss=-0.2168 reward_sum=0.699
episode=2600 loss=0.6746 policy_loss=0.0839 reward_sum=-0.128
episode=2650 loss=0.8936 policy_loss=0.1729 reward_sum=0.482
episode=2700 loss=0.7189 policy_loss=0.1411 reward_sum=-0.152
episode=2750 loss=0.5591 policy_loss=-0.2285 reward_sum=0.486
episode=2800 loss=0.7389 policy_loss=0.1673 reward_sum=-0.104
latest_checkpoint=/root/outputs/auxhead-lite/seed17/target-140000/checkpoints/latest-tom_seed17.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed17/target-140000/curves/latest-curve-tom-seed17.csv
episode=2850 loss=0.5537 policy_loss=-0.1492 reward_sum=-0.706
episode=2900 loss=0.6034 policy_loss=0.0167 reward_sum=-0.152
episode=2950 loss=0.3133 policy_loss=-0.3436 reward_sum=0.430
episode=3000 loss=0.5131 policy_loss=-0.0568 reward_sum=-0.164
episode=3050 loss=1.5632 policy_loss=0.2326 reward_sum=0.539
episode=3100 loss=0.9713 policy_loss=0.3797 reward_sum=-0.164
episode=3150 loss=0.9230 policy_loss=0.1416 reward_sum=0.449
episode=3200 loss=0.6621 policy_loss=0.0533 reward_sum=-0.140
episode=3250 loss=0.6610 policy_loss=-0.0223 reward_sum=-0.668
episode=3300 loss=0.6782 policy_loss=0.0908 reward_sum=-0.164
episode=3350 loss=1.2743 policy_loss=0.0991 reward_sum=0.654
episode=3400 loss=0.6634 policy_loss=0.0892 reward_sum=-0.092
episode=3450 loss=0.5416 policy_loss=0.0493 reward_sum=0.526
episode=3500 loss=0.6068 policy_loss=0.0254 reward_sum=-0.188
episode=3550 loss=0.5113 policy_loss=-0.1313 reward_sum=-0.698
episode=3600 loss=0.6051 policy_loss=0.0457 reward_sum=-0.188
episode=3650 loss=1.1552 policy_loss=0.1568 reward_sum=0.541
episode=3700 loss=0.5483 policy_loss=-0.0328 reward_sum=-0.780
episode=3750 loss=0.6631 policy_loss=0.0063 reward_sum=0.508
episode=3800 loss=0.6733 policy_loss=0.0820 reward_sum=-0.176
episode=3850 loss=0.6699 policy_loss=-0.0634 reward_sum=0.359
episode=3900 loss=0.7026 policy_loss=0.0960 reward_sum=-0.164
episode=3950 loss=1.1252 policy_loss=0.4124 reward_sum=0.623
episode=4000 loss=0.2316 policy_loss=-0.3397 reward_sum=-0.152
episode=4050 loss=0.6407 policy_loss=-0.0094 reward_sum=0.488
episode=4100 loss=0.4551 policy_loss=-0.1373 reward_sum=-0.140
episode=4150 loss=0.7341 policy_loss=0.0662 reward_sum=-0.720
episode=4200 loss=0.6551 policy_loss=0.0925 reward_sum=-0.116
episode=4250 loss=0.5797 policy_loss=-0.0229 reward_sum=0.508
episode=4300 loss=0.6058 policy_loss=0.0323 reward_sum=-0.128
episode=4350 loss=0.3745 policy_loss=-0.2466 reward_sum=0.486
episode=4400 loss=0.6760 policy_loss=0.1335 reward_sum=-0.116
episode=4450 loss=0.7258 policy_loss=0.1166 reward_sum=0.300
episode=4500 loss=0.7720 policy_loss=0.2389 reward_sum=-0.140
episode=4550 loss=0.5142 policy_loss=-0.0054 reward_sum=0.508
episode=4600 loss=0.6496 policy_loss=0.1281 reward_sum=-0.176
episode=4650 loss=0.0634 policy_loss=-0.6340 reward_sum=-1.285
episode=4700 loss=0.6538 policy_loss=0.0905 reward_sum=-0.201
episode=4750 loss=0.4553 policy_loss=-0.1457 reward_sum=0.347
episode=4800 loss=0.5933 policy_loss=0.0314 reward_sum=-0.164
latest_checkpoint=/root/outputs/auxhead-lite/seed17/target-140000/checkpoints/latest-tom_seed17.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed17/target-140000/curves/latest-curve-tom-seed17.csv
episode=4850 loss=0.4467 policy_loss=-0.1232 reward_sum=-0.677
episode=4900 loss=0.3068 policy_loss=-0.2397 reward_sum=-0.104
episode=4950 loss=0.0605 policy_loss=-0.4724 reward_sum=0.356
episode=5000 loss=0.4170 policy_loss=-0.0852 reward_sum=-1.228
episode=5050 loss=0.3483 policy_loss=-0.2017 reward_sum=-0.730
episode=5100 loss=0.6384 policy_loss=0.0805 reward_sum=-0.128
episode=5150 loss=0.2442 policy_loss=-0.2438 reward_sum=-0.581
episode=5200 loss=0.6919 policy_loss=0.1288 reward_sum=-0.140
episode=5250 loss=0.5545 policy_loss=-0.0887 reward_sum=-0.736
episode=5300 loss=0.6906 policy_loss=0.1262 reward_sum=-0.140
episode=5350 loss=0.4545 policy_loss=-0.1422 reward_sum=0.405
episode=5400 loss=0.6888 policy_loss=0.1466 reward_sum=-0.116
episode=5450 loss=0.4615 policy_loss=-0.0631 reward_sum=-0.728
episode=5500 loss=0.6910 policy_loss=0.1400 reward_sum=-0.164
episode=5550 loss=0.5610 policy_loss=0.0908 reward_sum=-0.752
episode=5600 loss=1.1826 policy_loss=0.6168 reward_sum=-0.152
episode=5650 loss=0.4979 policy_loss=0.0457 reward_sum=-0.738
episode=5700 loss=0.6745 policy_loss=0.1096 reward_sum=-0.164
episode=5750 loss=0.0047 policy_loss=-0.6917 reward_sum=-1.279
episode=5800 loss=0.5031 policy_loss=-0.0369 reward_sum=-0.128
episode=5850 loss=0.5321 policy_loss=0.0702 reward_sum=0.312
episode=5900 loss=0.5843 policy_loss=0.0131 reward_sum=-0.152
episode=5950 loss=0.6579 policy_loss=0.1196 reward_sum=0.379
episode=6000 loss=0.5926 policy_loss=0.0737 reward_sum=-0.164
episode=6050 loss=0.6351 policy_loss=0.1167 reward_sum=0.449
episode=6100 loss=0.5881 policy_loss=0.0740 reward_sum=-0.140
episode=6150 loss=0.2407 policy_loss=-0.2523 reward_sum=0.410
episode=6200 loss=0.5216 policy_loss=-0.0316 reward_sum=-0.140
episode=6250 loss=0.6782 policy_loss=0.1492 reward_sum=0.398
episode=6300 loss=0.6018 policy_loss=0.0856 reward_sum=-0.176
episode=6350 loss=0.3571 policy_loss=-0.1487 reward_sum=0.351
episode=6400 loss=0.7255 policy_loss=0.1474 reward_sum=-0.164
episode=6450 loss=0.3226 policy_loss=-0.4764 reward_sum=-1.248
episode=6500 loss=0.6938 policy_loss=0.1608 reward_sum=-0.140
episode=6550 loss=0.6774 policy_loss=0.1675 reward_sum=0.568
